run_at,severity,status,checks,total_violations
"2025-08-10 23:09:17",MEDIUM,FAIL,4,171
"2025-08-10 23:09:17",HIGH,FAIL,2,30
"2025-08-10 23:09:17",HIGH,PASS,2,0
"2025-08-10 23:09:17",MEDIUM,PASS,1,0
"2025-08-10 23:09:17",LOW,FAIL,2,20
"2025-08-10 23:55:46",MEDIUM,FAIL,4,171
"2025-08-10 23:55:46",HIGH,FAIL,2,30
"2025-08-10 23:55:46",HIGH,PASS,2,0
"2025-08-10 23:55:46",MEDIUM,PASS,1,0
"2025-08-10 23:55:46",LOW,FAIL,2,20
"2025-08-10 23:57:06",MEDIUM,FAIL,4,171
"2025-08-10 23:57:06",HIGH,FAIL,2,30
"2025-08-10 23:57:06",HIGH,PASS,2,0
"2025-08-10 23:57:06",MEDIUM,PASS,1,0
"2025-08-10 23:57:06",LOW,FAIL,2,20
